COMMAND: D:\Games\piper_sim\.venv\Scripts\python.exe -B -m piper_rl.scripts.train --task human-aware --human-preset randomized --human-difficulty 1.0 --algo sac --timesteps 2000000 --n-envs 4 --seed 2 --run-name human_aware_random_full_s2 --out runs --eval-freq 20000 --n-eval-episodes 15 --checkpoint-freq 50000 --action-mode cartesian --device auto
Using cpu device

======================================================================
SAC  |  2,000,000 steps  |  4 env(s)  |  obs (64,)  |  act (5,)
run dir: runs\human_aware_random_full_s2
======================================================================

Logging to runs\human_aware_random_full_s2\tb\SAC_1
D:\Games\piper_sim\.venv\Lib\site-packages\stable_baselines3\common\callbacks.py:419: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x000001FDDD553ED0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x000001FDDD513350>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
---------------------------------------------
| rollout/                       |          |
|    lift_rate                   | 0.0625   |
|    minimum_human_distance      | 0.0824   |
|    near_misses                 | 0.625    |
|    place_err_mm                | 279      |
|    proximity_steps             | 25.7     |
|    safety_clamped              | 84.2     |
|    success_rate                | 0.125    |
|    waiting_steps               | 5.38     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.105    |
|    collision_steps             | 0        |
|    completion_time             | 5.3      |
|    ep_len                      | 106      |
|    ep_len_mean                 | 107      |
|    ep_rew_mean                 | -77.2    |
|    episodes                    | 19       |
|    grasp_rate                  | 0.316    |
|    human_collision_rate        | 0.526    |
|    human_difficulty            | 1        |
|    human_safety_cost           | 77.3     |
|    lift_rate                   | 0.0526   |
|    minimum_human_distance      | 0.0767   |
|    near_misses                 | 0.632    |
|    place_err_mm                | 280      |
|    proximity_steps             | 25.7     |
|    safety_clamped              | 90.8     |
|    success_rate                | 0.1      |
|    waiting_steps               | 5.58     |
| time/                          |          |
|    episodes                    | 20       |
|    fps                         | 215      |
|    time_elapsed                | 10       |
|    total_timesteps             | 2212     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.103    |
|    collision_steps             | 0        |
|    completion_time             | 5.39     |
|    ep_len                      | 108      |
|    ep_len_mean                 | 107      |
|    ep_rew_mean                 | -66.2    |
|    episodes                    | 29       |
|    grasp_rate                  | 0.345    |
|    human_collision_rate        | 0.414    |
|    human_difficulty            | 1        |
|    human_safety_cost           | 62       |
|    lift_rate                   | 0.0345   |
|    minimum_human_distance      | 0.106    |
|    near_misses                 | 0.552    |
|    place_err_mm                | 280      |
|    proximity_steps             | 24.2     |
|    safety_clamped              | 92.5     |
|    success_rate                | 0.1      |
|    waiting_steps               | 5.14     |
| time/                          |          |
|    episodes                    | 30       |
|    fps                         | 215      |
|    time_elapsed                | 15       |
|    total_timesteps             | 3308     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.114    |
|    collision_steps             | 0        |
|    completion_time             | 5.43     |
|    ep_len                      | 109      |
|    episodes                    | 35       |
|    grasp_rate                  | 0.4      |
|    human_collision_rate        | 0.4      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 61.4     |
|    lift_rate                   | 0.0286   |
|    minimum_human_distance      | 0.117    |
|    near_misses                 | 0.543    |
|    place_err_mm                | 273      |
|    proximity_steps             | 23.9     |
|    safety_clamped              | 92.9     |
|    success_rate                | 0.114    |
|    waiting_steps               | 5.03     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.103    |
|    collision_steps             | 0.821    |
|    completion_time             | 5.52     |
|    ep_len                      | 110      |
|    ep_len_mean                 | 109      |
|    ep_rew_mean                 | -65.9    |
|    episodes                    | 39       |
|    grasp_rate                  | 0.41     |
|    human_collision_rate        | 0.41     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 61.8     |
|    lift_rate                   | 0.0256   |
|    minimum_human_distance      | 0.109    |
|    near_misses                 | 0.564    |
|    place_err_mm                | 279      |
|    proximity_steps             | 24.9     |
|    safety_clamped              | 94.8     |
|    success_rate                | 0.1      |
|    waiting_steps               | 5.95     |
| time/                          |          |
|    episodes                    | 40       |
|    fps                         | 215      |
|    time_elapsed                | 20       |
|    total_timesteps             | 4428     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.102    |
|    collision_steps             | 0.653    |
|    completion_time             | 5.42     |
|    ep_len                      | 108      |
|    ep_len_mean                 | 109      |
|    ep_rew_mean                 | -63.3    |
|    episodes                    | 49       |
|    grasp_rate                  | 0.408    |
|    human_collision_rate        | 0.408    |
|    human_difficulty            | 1        |
|    human_safety_cost           | 59.4     |
|    lift_rate                   | 0.0612   |
|    minimum_human_distance      | 0.109    |
|    near_misses                 | 0.612    |
|    place_err_mm                | 269      |
|    proximity_steps             | 24.6     |
|    safety_clamped              | 92.4     |
|    success_rate                | 0.1      |
|    waiting_steps               | 5.37     |
| time/                          |          |
|    episodes                    | 50       |
|    fps                         | 137      |
|    time_elapsed                | 42       |
|    total_timesteps             | 5824     |
| train/                         |          |
|    actor_loss                  | -1.91    |
|    critic_loss                 | 90.1     |
|    ent_coef                    | 0.0846   |
|    ent_coef_loss               | -1.53    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 820      |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.1      |
|    collision_steps             | 0.64     |
|    completion_time             | 5.67     |
|    ep_len                      | 113      |
|    episodes                    | 53       |
|    grasp_rate                  | 0.4      |
|    human_collision_rate        | 0.38     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 55.2     |
|    lift_rate                   | 0.06     |
|    minimum_human_distance      | 0.119    |
|    near_misses                 | 0.56     |
|    place_err_mm                | 267      |
|    proximity_steps             | 23.7     |
|    safety_clamped              | 97.7     |
|    success_rate                | 0.1      |
|    waiting_steps               | 5.38     |
| train/                         |          |
|    actor_loss                  | -2.99    |
|    critic_loss                 | 39.6     |
|    ent_coef                    | 0.0832   |
|    ent_coef_loss               | -3.75    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 996      |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.1      |
|    collision_steps             | 0.64     |
|    completion_time             | 5.61     |
|    ep_len                      | 112      |
|    ep_len_mean                 | 112      |
|    ep_rew_mean                 | -69.4    |
|    episodes                    | 59       |
|    grasp_rate                  | 0.4      |
|    human_collision_rate        | 0.38     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 54.4     |
|    lift_rate                   | 0.08     |
|    minimum_human_distance      | 0.126    |
|    near_misses                 | 0.54     |
|    place_err_mm                | 263      |
|    proximity_steps             | 21.8     |
|    safety_clamped              | 98.1     |
|    success_rate                | 0.0833   |
|    waiting_steps               | 5.82     |
| time/                          |          |
|    episodes                    | 60       |
|    fps                         | 100      |
|    time_elapsed                | 68       |
|    total_timesteps             | 6936     |
| train/                         |          |
|    actor_loss                  | -8.99    |
|    critic_loss                 | 17.9     |
|    ent_coef                    | 0.0732   |
|    ent_coef_loss               | -3.24    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 1932     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.06     |
|    collision_steps             | 0.64     |
|    completion_time             | 5.87     |
|    ep_len                      | 117      |
|    episodes                    | 69       |
|    grasp_rate                  | 0.42     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 47       |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.126    |
|    near_misses                 | 0.5      |
|    place_err_mm                | 275      |
|    proximity_steps             | 22.1     |
|    safety_clamped              | 104      |
|    success_rate                | 0.06     |
|    waiting_steps               | 9.1      |
| train/                         |          |
|    actor_loss                  | -14.1    |
|    critic_loss                 | 28.2     |
|    ent_coef                    | 0.0634   |
|    ent_coef_loss               | 0.62     |
|    learning_rate               | 0.0003   |
|    n_updates                   | 2996     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.06     |
|    collision_steps             | 0.64     |
|    completion_time             | 5.87     |
|    ep_len                      | 117      |
|    ep_len_mean                 | 114      |
|    ep_rew_mean                 | -66.6    |
|    episodes                    | 69       |
|    grasp_rate                  | 0.42     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 47       |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.126    |
|    near_misses                 | 0.5      |
|    place_err_mm                | 275      |
|    proximity_steps             | 22.1     |
|    safety_clamped              | 104      |
|    success_rate                | 0.0714   |
|    waiting_steps               | 9.1      |
| time/                          |          |
|    episodes                    | 70       |
|    fps                         | 81       |
|    time_elapsed                | 103      |
|    total_timesteps             | 8384     |
| train/                         |          |
|    actor_loss                  | -15.3    |
|    critic_loss                 | 28.1     |
|    ent_coef                    | 0.0622   |
|    ent_coef_loss               | -3.13    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 3380     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.04     |
|    collision_steps             | 0.66     |
|    completion_time             | 6.27     |
|    ep_len                      | 125      |
|    ep_len_mean                 | 120      |
|    ep_rew_mean                 | -68.6    |
|    episodes                    | 79       |
|    grasp_rate                  | 0.38     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 48.3     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.104    |
|    near_misses                 | 0.58     |
|    place_err_mm                | 286      |
|    proximity_steps             | 24.5     |
|    safety_clamped              | 112      |
|    success_rate                | 0.0617   |
|    waiting_steps               | 10.8     |
| time/                          |          |
|    episodes                    | 80       |
|    fps                         | 71       |
|    time_elapsed                | 139      |
|    total_timesteps             | 9940     |
| train/                         |          |
|    actor_loss                  | -17.7    |
|    critic_loss                 | 22.4     |
|    ent_coef                    | 0.0639   |
|    ent_coef_loss               | -0.74    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 4936     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.66     |
|    completion_time             | 6.48     |
|    ep_len                      | 130      |
|    episodes                    | 82       |
|    grasp_rate                  | 0.34     |
|    human_collision_rate        | 0.28     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 46       |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.0999   |
|    near_misses                 | 0.56     |
|    place_err_mm                | 295      |
|    proximity_steps             | 24.2     |
|    safety_clamped              | 116      |
|    success_rate                | 0.02     |
|    waiting_steps               | 10.7     |
| train/                         |          |
|    actor_loss                  | -18.6    |
|    critic_loss                 | 27.3     |
|    ent_coef                    | 0.0642   |
|    ent_coef_loss               | 0.76     |
|    learning_rate               | 0.0003   |
|    n_updates                   | 4996     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.02     |
|    completion_time             | 6.31     |
|    ep_len                      | 126      |
|    ep_len_mean                 | 119      |
|    ep_rew_mean                 | -65.8    |
|    episodes                    | 89       |
|    grasp_rate                  | 0.34     |
|    human_collision_rate        | 0.24     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 40.2     |
|    lift_rate                   | 0.12     |
|    minimum_human_distance      | 0.113    |
|    near_misses                 | 0.5      |
|    place_err_mm                | 281      |
|    proximity_steps             | 21.5     |
|    safety_clamped              | 113      |
|    success_rate                | 0.0556   |
|    waiting_steps               | 11.5     |
| time/                          |          |
|    episodes                    | 90       |
|    fps                         | 66       |
|    time_elapsed                | 166      |
|    total_timesteps             | 11060    |
| train/                         |          |
|    actor_loss                  | -21.1    |
|    critic_loss                 | 21.5     |
|    ent_coef                    | 0.073    |
|    ent_coef_loss               | 0.207    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 6056     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0.02     |
|    completion_time             | 6.61     |
|    ep_len                      | 132      |
|    episodes                    | 96       |
|    grasp_rate                  | 0.32     |
|    human_collision_rate        | 0.26     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 42.1     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.114    |
|    near_misses                 | 0.44     |
|    place_err_mm                | 288      |
|    proximity_steps             | 19.3     |
|    safety_clamped              | 119      |
|    success_rate                | 0        |
|    waiting_steps               | 12.4     |
| train/                         |          |
|    actor_loss                  | -21.3    |
|    critic_loss                 | 52.7     |
|    ent_coef                    | 0.0749   |
|    ent_coef_loss               | 0.0225   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 6996     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0.18     |
|    completion_time             | 6.83     |
|    ep_len                      | 137      |
|    ep_len_mean                 | 122      |
|    ep_rew_mean                 | -64.6    |
|    episodes                    | 99       |
|    grasp_rate                  | 0.32     |
|    human_collision_rate        | 0.24     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 40.8     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.116    |
|    near_misses                 | 0.42     |
|    place_err_mm                | 297      |
|    proximity_steps             | 20.2     |
|    safety_clamped              | 122      |
|    success_rate                | 0.05     |
|    waiting_steps               | 13.7     |
| time/                          |          |
|    episodes                    | 100      |
|    fps                         | 61       |
|    time_elapsed                | 205      |
|    total_timesteps             | 12700    |
| train/                         |          |
|    actor_loss                  | -17.8    |
|    critic_loss                 | 29.3     |
|    ent_coef                    | 0.0751   |
|    ent_coef_loss               | 0.241    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 7696     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0.18     |
|    completion_time             | 6.8      |
|    ep_len                      | 136      |
|    ep_len_mean                 | 125      |
|    ep_rew_mean                 | -64.7    |
|    episodes                    | 109      |
|    grasp_rate                  | 0.36     |
|    human_collision_rate        | 0.26     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 42.2     |
|    lift_rate                   | 0.08     |
|    minimum_human_distance      | 0.111    |
|    near_misses                 | 0.56     |
|    place_err_mm                | 299      |
|    proximity_steps             | 23.2     |
|    safety_clamped              | 118      |
|    success_rate                | 0.04     |
|    waiting_steps               | 13.6     |
| time/                          |          |
|    episodes                    | 110      |
|    fps                         | 60       |
|    time_elapsed                | 227      |
|    total_timesteps             | 13624    |
| train/                         |          |
|    actor_loss                  | -18.7    |
|    critic_loss                 | 60.4     |
|    ent_coef                    | 0.0741   |
|    ent_coef_loss               | 0.248    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 8620     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0.18     |
|    completion_time             | 6.68     |
|    ep_len                      | 134      |
|    episodes                    | 113      |
|    grasp_rate                  | 0.34     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 44.4     |
|    lift_rate                   | 0.04     |
|    minimum_human_distance      | 0.104    |
|    near_misses                 | 0.56     |
|    place_err_mm                | 301      |
|    proximity_steps             | 21.7     |
|    safety_clamped              | 114      |
|    success_rate                | 0        |
|    waiting_steps               | 11.5     |
| train/                         |          |
|    actor_loss                  | -17.7    |
|    critic_loss                 | 35.3     |
|    ent_coef                    | 0.0741   |
|    ent_coef_loss               | -0.282   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 8996     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0.18     |
|    completion_time             | 6.42     |
|    ep_len                      | 128      |
|    ep_len_mean                 | 123      |
|    ep_rew_mean                 | -63.8    |
|    episodes                    | 119      |
|    grasp_rate                  | 0.38     |
|    human_collision_rate        | 0.34     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 49.6     |
|    lift_rate                   | 0.04     |
|    minimum_human_distance      | 0.0917   |
|    near_misses                 | 0.62     |
|    place_err_mm                | 289      |
|    proximity_steps             | 21.5     |
|    safety_clamped              | 109      |
|    success_rate                | 0.03     |
|    waiting_steps               | 10.6     |
| time/                          |          |
|    episodes                    | 120      |
|    fps                         | 58       |
|    time_elapsed                | 251      |
|    total_timesteps             | 14624    |
| train/                         |          |
|    actor_loss                  | -19.6    |
|    critic_loss                 | 31.1     |
|    ent_coef                    | 0.0718   |
|    ent_coef_loss               | -0.633   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 9620     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.22     |
|    completion_time             | 5.76     |
|    ep_len                      | 115      |
|    ep_len_mean                 | 122      |
|    ep_rew_mean                 | -62.8    |
|    episodes                    | 129      |
|    grasp_rate                  | 0.48     |
|    human_collision_rate        | 0.34     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 49       |
|    lift_rate                   | 0.08     |
|    minimum_human_distance      | 0.109    |
|    near_misses                 | 0.54     |
|    place_err_mm                | 272      |
|    proximity_steps             | 18       |
|    safety_clamped              | 96.6     |
|    success_rate                | 0.03     |
|    waiting_steps               | 9.56     |
| time/                          |          |
|    episodes                    | 130      |
|    fps                         | 56       |
|    time_elapsed                | 273      |
|    total_timesteps             | 15548    |
| train/                         |          |
|    actor_loss                  | -16.9    |
|    critic_loss                 | 57.6     |
|    ent_coef                    | 0.0698   |
|    ent_coef_loss               | 0.196    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 10544    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.22     |
|    completion_time             | 5.71     |
|    ep_len                      | 114      |
|    episodes                    | 133      |
|    grasp_rate                  | 0.52     |
|    human_collision_rate        | 0.36     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 53.4     |
|    lift_rate                   | 0.08     |
|    minimum_human_distance      | 0.103    |
|    near_misses                 | 0.6      |
|    place_err_mm                | 274      |
|    proximity_steps             | 21.4     |
|    safety_clamped              | 94.5     |
|    success_rate                | 0.02     |
|    waiting_steps               | 11.3     |
| train/                         |          |
|    actor_loss                  | -17.9    |
|    critic_loss                 | 26       |
|    ent_coef                    | 0.0697   |
|    ent_coef_loss               | -0.342   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 10996    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.22     |
|    completion_time             | 5.93     |
|    ep_len                      | 119      |
|    ep_len_mean                 | 123      |
|    ep_rew_mean                 | -64      |
|    episodes                    | 139      |
|    grasp_rate                  | 0.5      |
|    human_collision_rate        | 0.38     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 54       |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.1      |
|    near_misses                 | 0.6      |
|    place_err_mm                | 283      |
|    proximity_steps             | 21       |
|    safety_clamped              | 98.6     |
|    success_rate                | 0.02     |
|    waiting_steps               | 8.92     |
| time/                          |          |
|    episodes                    | 140      |
|    fps                         | 55       |
|    time_elapsed                | 305      |
|    total_timesteps             | 16892    |
| train/                         |          |
|    actor_loss                  | -17.3    |
|    critic_loss                 | 59.7     |
|    ent_coef                    | 0.0728   |
|    ent_coef_loss               | -0.951   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 11888    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.06     |
|    completion_time             | 5.59     |
|    ep_len                      | 112      |
|    ep_len_mean                 | 124      |
|    ep_rew_mean                 | -67.3    |
|    episodes                    | 149      |
|    grasp_rate                  | 0.52     |
|    human_collision_rate        | 0.4      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 57.3     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.0924   |
|    near_misses                 | 0.62     |
|    place_err_mm                | 280      |
|    proximity_steps             | 20.8     |
|    safety_clamped              | 91.7     |
|    success_rate                | 0.01     |
|    waiting_steps               | 7.16     |
| time/                          |          |
|    episodes                    | 150      |
|    fps                         | 54       |
|    time_elapsed                | 331      |
|    total_timesteps             | 17984    |
| train/                         |          |
|    actor_loss                  | -15.4    |
|    critic_loss                 | 35.7     |
|    ent_coef                    | 0.0735   |
|    ent_coef_loss               | -0.0362  |
|    learning_rate               | 0.0003   |
|    n_updates                   | 12980    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.06     |
|    completion_time             | 5.59     |
|    ep_len                      | 112      |
|    episodes                    | 150      |
|    grasp_rate                  | 0.52     |
|    human_collision_rate        | 0.4      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 57.5     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.0854   |
|    near_misses                 | 0.64     |
|    place_err_mm                | 277      |
|    proximity_steps             | 21.4     |
|    safety_clamped              | 91.6     |
|    success_rate                | 0.02     |
|    waiting_steps               | 7.32     |
| train/                         |          |
|    actor_loss                  | -15.5    |
|    critic_loss                 | 39.9     |
|    ent_coef                    | 0.0737   |
|    ent_coef_loss               | 0.313    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 12996    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.06     |
|    completion_time             | 5.47     |
|    ep_len                      | 109      |
|    ep_len_mean                 | 122      |
|    ep_rew_mean                 | -62.5    |
|    episodes                    | 159      |
|    grasp_rate                  | 0.58     |
|    human_collision_rate        | 0.36     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 51.4     |
|    lift_rate                   | 0.12     |
|    minimum_human_distance      | 0.0929   |
|    near_misses                 | 0.52     |
|    place_err_mm                | 264      |
|    proximity_steps             | 17.1     |
|    safety_clamped              | 91       |
|    success_rate                | 0.01     |
|    waiting_steps               | 7        |
| time/                          |          |
|    episodes                    | 160      |
|    fps                         | 53       |
|    time_elapsed                | 357      |
|    total_timesteps             | 19060    |
| train/                         |          |
|    actor_loss                  | -16.7    |
|    critic_loss                 | 52.1     |
|    ent_coef                    | 0.0793   |
|    ent_coef_loss               | 0.369    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 14056    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.06     |
|    completion_time             | 5.55     |
|    ep_len                      | 111      |
|    episodes                    | 169      |
|    grasp_rate                  | 0.62     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 46.8     |
|    lift_rate                   | 0.12     |
|    minimum_human_distance      | 0.117    |
|    near_misses                 | 0.48     |
|    place_err_mm                | 264      |
|    proximity_steps             | 17.9     |
|    safety_clamped              | 91.6     |
|    success_rate                | 0.02     |
|    waiting_steps               | 8.18     |
| train/                         |          |
|    actor_loss                  | -16.1    |
|    critic_loss                 | 30.5     |
|    ent_coef                    | 0.0766   |
|    ent_coef_loss               | -0.98    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 14996    |
---------------------------------------------
Eval num_timesteps=20000, episode_reward=-127.78 +/- 100.37
Episode length: 166.20 +/- 40.81
Success rate: 0.00%
---------------------------------
| eval/              |          |
|    mean_ep_length  | 166      |
|    mean_reward     | -128     |
|    success_rate    | 0        |
| time/              |          |
|    total_timesteps | 20000    |
---------------------------------
New best mean reward!
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.02     |
|    collision_steps             | 0.06     |
|    completion_time             | 5.55     |
|    ep_len                      | 111      |
|    ep_len_mean                 | 120      |
|    ep_rew_mean                 | -61.8    |
|    episodes                    | 169      |
|    grasp_rate                  | 0.62     |
|    human_collision_rate        | 0.3      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 46.8     |
|    lift_rate                   | 0.12     |
|    minimum_human_distance      | 0.117    |
|    near_misses                 | 0.48     |
|    place_err_mm                | 264      |
|    proximity_steps             | 17.9     |
|    safety_clamped              | 91.6     |
|    success_rate                | 0.01     |
|    waiting_steps               | 8.18     |
| time/                          |          |
|    episodes                    | 170      |
|    fps                         | 47       |
|    time_elapsed                | 423      |
|    total_timesteps             | 20180    |
| train/                         |          |
|    actor_loss                  | -14.6    |
|    critic_loss                 | 43.3     |
|    ent_coef                    | 0.0769   |
|    ent_coef_loss               | -0.161   |
|    learning_rate               | 0.0003   |
|    n_updates                   | 15176    |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.04     |
|    collision_steps             | 0        |
|    completion_time             | 5.64     |
|    ep_len                      | 113      |
|    ep_len_mean                 | 113      |
|    ep_rew_mean                 | -53      |
|    episodes                    | 179      |
|    grasp_rate                  | 0.58     |
|    human_collision_rate        | 0.26     |
|    human_difficulty            | 1        |
|    human_safety_cost           | 41.7     |
|    lift_rate                   | 0.1      |
|    minimum_human_distance      | 0.124    |
|    near_misses                 | 0.48     |
|    place_err_mm                | 257      |
|    proximity_steps             | 17.3     |
|    safety_clamped              | 94.5     |
|    success_rate                | 0.03     |
|    waiting_steps               | 7.88     |
| time/                          |          |
|    episodes                    | 180      |
|    fps                         | 47       |
|    time_elapsed                | 443      |
|    total_timesteps             | 21040    |
| train/                         |          |
|    actor_loss                  | -11.3    |
|    critic_loss                 | 28.5     |
|    ent_coef                    | 0.0766   |
|    ent_coef_loss               | 0.754    |
|    learning_rate               | 0.0003   |
|    n_updates                   | 16036    |
